GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
1.0.0-snapshot,test._snapshot,App,7,0,0,0,3,0,2,0,2,0
1.0.0-snapshot,test._snapshot,MtEndpointImpl,5,0,0,0,2,0,2,0,2,0
1.0.0-snapshot,test._snapshot,Main2,12,0,0,0,4,0,3,0,3,0
